"path"	"line"	"channel"	"source_text"
"css/_common/common.css"	"1"	"css-content"	"エピソードLv"
"css/_common/common.css"	"1"	"css-content"	"マギアLv"
"css/_common/common.css"	"1"	"css-content"	"Illustrator"
"css/_common/common.css"	"1"	"css-content"	"マギア"
"css/_common/common.css"	"1"	"css-content"	"EXスキル"
"css/_common/common.css"	"1"	"css-content"	"コネクト"
"css/_common/common.css"	"1"	"css-content"	"Rank"
"css/_common/common.css"	"1"	"css-content"	"Stage"
"css/_common/common.css"	"1"	"css-content"	"スキルタイプ"
"css/_common/common.css"	"1"	"css-content"	"スキル"
"css/_common/common.css"	"1"	"css-content"	"アビリティタイプ"
"css/_common/common.css"	"1"	"css-content"	"アビリティ"
"css/event/EventWitch/ExchangeTop.css"	"1"	"css-content"	"スキルタイプ"
"css/event/EventWitch/ExchangeTop.css"	"1"	"css-content"	"スキル"
"css/event/EventWitch/ExchangeTop.css"	"1"	"css-content"	"アビリティタイプ"
"css/event/EventWitch/ExchangeTop.css"	"1"	"css-content"	"アビリティ"
"css/memoria/UserMemoriaList.css"	"1"	"css-content"	"OVER"
"css/memoria/UserMemoriaList.css"	"1"	"css-content"	"Lv MAX"
"css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css"	"1"	"css-content"	"デイリーダメージ"
"css/regularEvent/groupBattle/RegularEventGroupBattleResult.css"	"1"	"css-content"	"デイリーダメージ"
"css/regularEvent/groupBattle/RegularEventGroupBattleTop.css"	"1"	"css-content"	"デイリーダメージ"
"css/user/EventRecord.css"	"1"	"css-content"	"デイリーダメージ"
"js/_common/backboneCommon.js"	"85"	"js-ui-literal"	"height:"
"js/_common/backboneCommon.js"	"86"	"js-ui-literal"	"height:"
"js/campaign/box_gacha/CampaignBoxGachaTop.js"	"38"	"js-ui-literal"	"\x3cdiv id\x3d'popupDetailScrollWrap'\x3e\x3cdiv class\x3d'scrollInner'\x3e\x3c/div\x3e\x3c/div\x3e"
"js/campaign/quiz/CampaignQuizTop.js"	"109"	"js-ui-literal"	"<img src=""/magica/resource/image_web/item/"
"js/campaign/quiz/CampaignQuizTop.js"	"110"	"js-ui-literal"	"<img src=""/magica/resource/image_web/item/"
"js/campaign/quiz/CampaignQuizTop.js"	"155"	"js-ui-literal"	"<span class=""b_screen""></span><div class=""maskWrap""></div><div class=""effect01""></div><div class=""effect02""></div>"
"js/campaign/quiz/CampaignQuizTop.js"	"156"	"js-ui-literal"	"<span class=""b_screen""></span><div class=""maskWrap""></div><div class=""effect01""></div><div class=""effect02""></div>"
