file	key	field	source	baseline_exists	dump_exists	baseline	pass8	dump	release	release_source
cardList.json	11024	cardName	llm_or_other	true	false	"""やちよ・みふゆ"""	"""八千代·美冬"""		八千代·美冬	llm_or_other
cardList.json	11025	cardName	llm_or_other	true	false	"""やちよ・みふゆ"""	"""八千代·美冬"""		八千代·美冬	llm_or_other
cardList.json	11055	cardName	llm_or_other	true	false	"""フェリシアちゃん"""	"""小菲莉希亚"""		小菲莉希亚	llm_or_other
cardList.json	11074	cardName	llm_or_other	true	false	"""灯花・ねむ"""	"""灯花·音梦"""		灯花·音梦	llm_or_other
cardList.json	11075	cardName	llm_or_other	true	false	"""灯花・ねむ"""	"""灯花·音梦"""		灯花·音梦	llm_or_other
cardList.json	11095	cardName	llm_or_other	true	false	"""レナちゃん"""	"""小玲奈"""		小玲奈	llm_or_other
cardList.json	11124	cardName	llm_or_other	true	false	"""かりん・アリナ"""	"""花凛·阿莉娜"""		花凛·阿莉娜	llm_or_other
cardList.json	11125	cardName	llm_or_other	true	false	"""かりん・アリナ"""	"""花凛·阿莉娜"""		花凛·阿莉娜	llm_or_other
cardList.json	11374	cardName	llm_or_other	true	false	"""那由他・みかげ"""	"""那由他·御影"""		那由他·御影	llm_or_other
cardList.json	11375	cardName	llm_or_other	true	false	"""那由他・みかげ"""	"""那由他·御影"""		那由他·御影	llm_or_other
cardList.json	12034	cardName	llm_or_other	true	false	"""鶴乃・フェリシア"""	"""鹤乃·菲莉希亚"""		鹤乃·菲莉希亚	llm_or_other
cardList.json	12035	cardName	llm_or_other	true	false	"""鶴乃・フェリシア"""	"""鹤乃·菲莉希亚"""		鹤乃·菲莉希亚	llm_or_other
cardList.json	12094	cardName	llm_or_other	true	false	"""レナ・かえで"""	"""玲奈·枫"""		玲奈·枫	llm_or_other
cardList.json	12095	cardName	llm_or_other	true	false	"""レナ・かえで"""	"""玲奈·枫"""		玲奈·枫	llm_or_other
cardList.json	12104	cardName	llm_or_other	true	false	"""ももこ・みたま"""	"""桃子·御魂"""		桃子·御魂	llm_or_other
cardList.json	12105	cardName	llm_or_other	true	false	"""ももこ・みたま"""	"""桃子·御魂"""		桃子·御魂	llm_or_other
cardList.json	14014	cardName	llm_or_other	true	false	"""いろは・うい"""	"""彩羽·忧"""		彩羽·忧	llm_or_other
cardList.json	14015	cardName	llm_or_other	true	false	"""いろは・うい"""	"""彩羽·忧"""		彩羽·忧	llm_or_other
cardList.json	21034	cardName	llm_or_other	true	false	"""究極まどか先輩"""	"""究极小圆前辈"""		究极小圆前辈	llm_or_other
cardList.json	21035	cardName	llm_or_other	true	false	"""究極まどか先輩"""	"""究极小圆前辈"""		究极小圆前辈	llm_or_other
cardList.json	22014	cardName	llm_or_other	true	false	"""悪魔ほむらちゃん"""	"""恶魔小焰"""		恶魔小焰	llm_or_other
cardList.json	22015	cardName	llm_or_other	true	false	"""悪魔ほむらちゃん"""	"""恶魔小焰"""		恶魔小焰	llm_or_other
cardList.json	22024	cardName	llm_or_other	true	false	"""悪魔ほむら"""	"""恶魔焰"""		恶魔焰	llm_or_other
cardList.json	22025	cardName	llm_or_other	true	false	"""悪魔ほむら"""	"""恶魔焰"""		恶魔焰	llm_or_other
cardList.json	25024	cardName	llm_or_other	true	false	"""ホーリーマミ"""	"""圣麻美"""		圣麻美	llm_or_other
cardList.json	25025	cardName	llm_or_other	true	false	"""ホーリーマミ"""	"""圣麻美"""		圣麻美	llm_or_other
cardList.json	35015	cardName	llm_or_other	true	false	"""梨花・れん"""	"""梨花·怜"""		梨花·怜	llm_or_other
cardList.json	35034	cardName	llm_or_other	true	false	"""このは・葉月"""	"""木叶·叶月"""		木叶·叶月	llm_or_other
cardList.json	35035	cardName	llm_or_other	true	false	"""このは・葉月"""	"""木叶·叶月"""		木叶·叶月	llm_or_other
cardList.json	35044	cardName	llm_or_other	true	false	"""まさら・こころ"""	"""真良·心"""		真良·心	llm_or_other
cardList.json	35045	cardName	llm_or_other	true	false	"""まさら・こころ"""	"""真良·心"""		真良·心	llm_or_other
cardList.json	35054	cardName	llm_or_other	true	false	"""れいら・せいか"""	"""丽良·清佳"""		丽良·清佳	llm_or_other
cardList.json	35055	cardName	llm_or_other	true	false	"""れいら・せいか"""	"""丽良·清佳"""		丽良·清佳	llm_or_other
cardList.json	40144	cardName	llm_or_other	true	false	"""昴 かずみ"""	"""昴和美"""		昴和美	llm_or_other
cardList.json	40145	cardName	llm_or_other	true	false	"""昴 かずみ"""	"""昴和美"""		昴和美	llm_or_other
cardList.json	40413	cardName	llm_or_other	true	false	"""戦場ヶ原 ひたぎ"""	"""战场原黑仪"""		战场原黑仪	llm_or_other
cardList.json	40414	cardName	llm_or_other	true	false	"""戦場ヶ原 ひたぎ"""	"""战场原黑仪"""		战场原黑仪	llm_or_other
cardList.json	40415	cardName	llm_or_other	true	false	"""戦場ヶ原 ひたぎ"""	"""战场原黑仪"""		战场原黑仪	llm_or_other
cardList.json	40525	cardName	llm_or_other	true	false	"""フェイト"""	"""菲特"""		菲特	llm_or_other
cardList.json	12084	cardName	llm_or_other	false	false		"""圣阿莉娜"""		圣阿莉娜	llm_or_other
cardList.json	65014	cardName	llm_or_other	false	false		"""神滨圣女的传闻"""		神滨圣女的传闻	llm_or_other
cardList.json	71515	cardName	llm_or_other	false	false		"""白翼"""		白翼	llm_or_other
cardList.json	83134	cardName	llm_or_other	false	false		"""少女"""		少女	llm_or_other
cardMagiaMap.json	11048	name	llm_or_other	true	false	"""shutDOWN -r -t 21"""	"""shutdown -r -t 21"""		shutdown -r -t 21	llm_or_other
cardMagiaMap.json	11218	name	llm_or_other	true	false	"""血盟狂乱"""	"""血盟的狂乱"""		血盟的狂乱	llm_or_other
cardMagiaMap.json	20098	name	llm_or_other	true	false	"""美妙最终剪辑"""	"""璀璨终结剪辑"""		璀璨终结剪辑	llm_or_other
cardMagiaMap.json	21048	name	llm_or_other	true	false	"""魔法☆魔力"""	"""Magia☆Magica"""		Magia☆Magica	llm_or_other
cardMagiaMap.json	25038	name	llm_or_other	true	false	"""疑心巡游"""	"""普雷韦努托·斯菲拉塔"""		普雷韦努托·斯菲拉塔	llm_or_other
cardMagiaMap.json	30473	name	llm_or_other	true	false	"""自然回归ン"""	"""自然回归"""		自然回归	llm_or_other
cardMagiaMap.json	90236	name	llm_or_other	true	false	"""白羽的魔女化身"""	"""白翼的魔女化身"""		白翼的魔女化身	llm_or_other
cardMagiaMap.json	90260	name	llm_or_other	true	false	"""？？？？？Magia"""	"""？？？？？的Magia"""		？？？？？的Magia	llm_or_other
cardMagiaMap.json	90261	name	llm_or_other	true	false	"""？？？？？Magia"""	"""？？？？？的Magia"""		？？？？？的Magia	llm_or_other
cardMagiaMap.json	90262	name	llm_or_other	true	false	"""？？？？？Magia"""	"""？？？？？的Magia"""		？？？？？的Magia	llm_or_other
cardMagiaMap.json	90263	name	llm_or_other	true	false	"""？？？？？Magia"""	"""？？？？？的Magia"""		？？？？？的Magia	llm_or_other
cardMagiaMap.json	90264	name	llm_or_other	true	false	"""？？？？？Magia"""	"""？？？？？的Magia"""		？？？？？的Magia	llm_or_other
cardMagiaMap.json	90268	shortDescription	llm_or_other	true	false	"""对单个敌人造成伤害[Ⅶ]&必定魅惑・诅咒・黑暗(单个敌人/1T)&解除状态强化(单个敌人)&攻击力UP(全体/3T)"""	"""对敌方单体造成伤害[Ⅶ] & 必定赋予诱惑、诅咒、黑暗(敌方单体/1T) & 解除状态强化(敌方单体) & 攻击力提升(我方全体/3T)"""		对敌方单体造成伤害[Ⅶ] & 必定赋予诱惑、诅咒、黑暗(敌方单体/1T) & 解除状态强化(敌方单体) & 攻击力提升(我方全体/3T)	llm_or_other
