kind,logical_path,complete_path,callgraph_path,complete_size,callgraph_size,complete_sha256,callgraph_sha256,complete_width,complete_height,callgraph_width,callgraph_height,status
direct,assets/cnv/background_light.png,complete/magirecocn-images-complete/01_direct_images/assets/cnv/background_light.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/cnv/background_light.png,193873,193873,adf0328be465f699d58d18b063c43f5cb4f4ad96298794c19bd1cddb5ad1de05,adf0328be465f699d58d18b063c43f5cb4f4ad96298794c19bd1cddb5ad1de05,1024,1024,1024,1024,byte_identical
direct,assets/cnv/logo.png,complete/magirecocn-images-complete/01_direct_images/assets/cnv/logo.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/cnv/logo.png,69868,69868,80d8bd90546a70376c836625ae8141ee7741df2f91ada0de9ada940b1b775129,80d8bd90546a70376c836625ae8141ee7741df2f91ada0de9ada940b1b775129,680,180,680,180,byte_identical
direct,assets/fonts/witchText-export.png,complete/magirecocn-images-complete/01_direct_images/assets/fonts/witchText-export.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/fonts/witchText-export.png,2065782,2065782,43cd69d857986ce393fea96e2ebedd2fe8282df2a7eff4c1d036fb9accdd5d7f,43cd69d857986ce393fea96e2ebedd2fe8282df2a7eff4c1d036fb9accdd5d7f,2048,1024,2048,1024,byte_identical
direct,assets/package/download/data_download0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/download/data_download0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/download/data_download0.png,24678,24678,8a2d5dbf522c8df5f2a59a5908d97f46b5b333a70e198449266fb9400e9bdf65,8a2d5dbf522c8df5f2a59a5908d97f46b5b333a70e198449266fb9400e9bdf65,1024,512,1024,512,byte_identical
direct,assets/package/download/loading_data.png,complete/magirecocn-images-complete/01_direct_images/assets/package/download/loading_data.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/download/loading_data.png,3119,3119,be07ce32495213043e600b5622a4a6e81f64c1085e23af5150347b1966e79c0c,be07ce32495213043e600b5622a4a6e81f64c1085e23af5150347b1966e79c0c,194,234,194,234,byte_identical
direct,assets/package/download/loading_resource0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/download/loading_resource0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/download/loading_resource0.png,301167,301167,2e715e3b3152be34cbb5f1e9dc3499f54693925d79e189ee5b9118ef4ebd08d9,2e715e3b3152be34cbb5f1e9dc3499f54693925d79e189ee5b9118ef4ebd08d9,2048,1024,2048,1024,byte_identical
direct,assets/package/evolution/web_ef_reality_up0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/evolution/web_ef_reality_up0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/evolution/web_ef_reality_up0.png,770081,770081,858bc2be321d1ab82fd7f7a9a4c709057c439d695979b1b98cad40b9e9cc1e7e,858bc2be321d1ab82fd7f7a9a4c709057c439d695979b1b98cad40b9e9cc1e7e,2048,2048,2048,2048,byte_identical
direct,assets/package/loading/loading_char.png,complete/magirecocn-images-complete/01_direct_images/assets/package/loading/loading_char.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/loading/loading_char.png,5757,5757,2f3834d6160fae98329b34785d260c332f2251f717813cf8a112bedea9a3738f,2f3834d6160fae98329b34785d260c332f2251f717813cf8a112bedea9a3738f,256,256,256,256,byte_identical
direct,assets/package/loading/loading_icon.png,complete/magirecocn-images-complete/01_direct_images/assets/package/loading/loading_icon.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/loading/loading_icon.png,67475,67475,f47ce0abf9763df88f231fe87a8a702a12ad1a53d077001847eb728ae9c00d9e,f47ce0abf9763df88f231fe87a8a702a12ad1a53d077001847eb728ae9c00d9e,542,283,542,283,byte_identical
direct,assets/package/loading/tips.png,complete/magirecocn-images-complete/01_direct_images/assets/package/loading/tips.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/loading/tips.png,76525,76525,db20653f83322ec52d786319b22c19ce1d48daa7b27306395ded2bbb5159e613,db20653f83322ec52d786319b22c19ce1d48daa7b27306395ded2bbb5159e613,2048,1024,2048,1024,byte_identical
direct,assets/package/memoria/web_ef_memoria0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/memoria/web_ef_memoria0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/memoria/web_ef_memoria0.png,1178536,1178536,22ae9e711b637edf9c4a846b6e8905e842f03835aa65e02b9606d9f37a7fedab,22ae9e711b637edf9c4a846b6e8905e842f03835aa65e02b9606d9f37a7fedab,2048,2048,2048,2048,byte_identical
direct,assets/package/memoria/web_ef_memoria1.png,complete/magirecocn-images-complete/01_direct_images/assets/package/memoria/web_ef_memoria1.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/memoria/web_ef_memoria1.png,238221,238221,85ca7127a2eb240894177a068c3a992751f8e71d5f247a6ce4d065a6442e35c9,85ca7127a2eb240894177a068c3a992751f8e71d5f247a6ce4d065a6442e35c9,1024,1024,1024,1024,byte_identical
direct,assets/package/movie/ui_touchscreen0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/movie/ui_touchscreen0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/movie/ui_touchscreen0.png,13636,13636,cc7e195525683e83ba7401660cd705cef7db17eadaa074fd1c3cb535ebfc8eca,cc7e195525683e83ba7401660cd705cef7db17eadaa074fd1c3cb535ebfc8eca,1024,128,1024,128,byte_identical
direct,assets/package/quest/arena/battle_clear_arena0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/quest/arena/battle_clear_arena0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/quest/arena/battle_clear_arena0.png,103468,103468,e9617b3a967794c682bcdf4ef7881ab3302154d178029bef819954b96589bc26,e9617b3a967794c682bcdf4ef7881ab3302154d178029bef819954b96589bc26,2048,1024,2048,1024,byte_identical
direct,assets/package/quest/avatar/unit_marker0.png,complete/magirecocn-images-complete/01_direct_images/assets/package/quest/avatar/unit_marker0.png,callgraph/magirecocn-image-callgraph-l2d-reuse-final/05_l2d_browser/assets/direct/assets/package/quest/avatar/unit_marker0.png,23872,23872,5ae25eeb12795481daf1c4aa3ba04be3d28a0734027e8bd22d13694637c582fc,5ae25eeb12795481daf1c4aa3ba04be3d28a0734027e8bd22d13694637c582fc,512,512,512,512,byte_identical
