logical_path,kind,apk_path,apk_size,manifest_size,apk_md5,manifest_md5,same_md5
resource/image_native/bg/web/web_black.jpg,image,legacy-client/assets/resource/image_native/bg/web/web_black.jpg,4949,4949,503d69db3cca4f9cba49534dacddbc21,503d69db3cca4f9cba49534dacddbc21,true
resource/image_native/card/frame/att_dark.png,image,legacy-client/assets/resource/image_native/card/frame/att_dark.png,1759,1759,2cf5f1c649770e16732ec5e6ebedb9ae,2cf5f1c649770e16732ec5e6ebedb9ae,true
resource/image_native/card/frame/att_fire.png,image,legacy-client/assets/resource/image_native/card/frame/att_fire.png,1755,1764,30a31047abac5ff3691c72151ee4a84a,818358ee0a5d9e0d5d64d83a04c0e772,false
resource/image_native/card/frame/att_light.png,image,legacy-client/assets/resource/image_native/card/frame/att_light.png,1761,1761,a1ddeb2b82664650583f4c91435614d8,a1ddeb2b82664650583f4c91435614d8,true
resource/image_native/card/frame/att_timber.png,image,legacy-client/assets/resource/image_native/card/frame/att_timber.png,1683,1746,b7db89baba9cc9f3a2c5b5e35b0aa165,7401a059a2b216d1305aa135ac370546,false
resource/image_native/card/frame/att_water.png,image,legacy-client/assets/resource/image_native/card/frame/att_water.png,1748,1748,8d34c6c9353cfd90025a41d0b9ee511e,8d34c6c9353cfd90025a41d0b9ee511e,true
resource/image_native/card/frame/bg_dark.png,image,legacy-client/assets/resource/image_native/card/frame/bg_dark.png,1193,1193,0422e56bedc12fa741be2b47565bc9a7,0422e56bedc12fa741be2b47565bc9a7,true
resource/image_native/card/frame/bg_fire.png,image,legacy-client/assets/resource/image_native/card/frame/bg_fire.png,1221,1221,d7a54c174ee6f95ccd881b0cdee3025b,d7a54c174ee6f95ccd881b0cdee3025b,true
resource/image_native/card/frame/bg_light.png,image,legacy-client/assets/resource/image_native/card/frame/bg_light.png,1180,1184,6c57cf32732f67b80cc0f091cb68d8e8,407ae859e106e4fcd244c8b29f5de177,false
resource/image_native/card/frame/bg_timber.png,image,legacy-client/assets/resource/image_native/card/frame/bg_timber.png,1089,1089,b0a6498c73f9cc34b2336bf3aad74c6c,b0a6498c73f9cc34b2336bf3aad74c6c,true
