file	json_path	stable_context	field	branch_scanned_value	current_value	decision	source_tier	official_cn_exact_occurrences	wiki_exact_occurrences	reason
cardList.json	$[96].cardName	cardId=10424	cardName	Kyubert	小丘比	已在当前产品中文化	current-authority-curation	0	0	远端 main 的有效变更已逐项择优回收，本地当前值含中文。
cardList.json	$[97].cardName	cardId=10425	cardName	Kyubert	小丘比	已在当前产品中文化	current-authority-curation	0	0	远端 main 的有效变更已逐项择优回收，本地当前值含中文。
cardMagiaMap.json	$.10084.name		name	Nine Phases	Nine Phases	保留原字面值	official-cn-exact	49	20	旧国服客户端/dump 对同一字面值有精确命中；属于正式标题、招式名或机制名。
cardMagiaMap.json	$.10085.name		name	Nine Phases	Nine Phases	保留原字面值	official-cn-exact	49	20	旧国服客户端/dump 对同一字面值有精确命中；属于正式标题、招式名或机制名。
cardMagiaMap.json	$.11048.name		name	shutdown -r -t 21	shutdown -r -t 21	保留原字面值	wiki-exact-formal	0	3	Wiki 对同一正式名称有精确记录；不把专名强行直译成普通 UI 文案。
cardMagiaMap.json	$.21048.name		name	Magia☆Magica	Magia☆Magica	保留原字面值	wiki-exact-formal	0	2	Wiki 对同一正式名称有精确记录；不把专名强行直译成普通 UI 文案。
cardMagiaMap.json	$.30244.name		name	angry·hungry	angry·hungry	保留原字面值	official-cn-exact	5	0	旧国服客户端/dump 对同一字面值有精确命中；属于正式标题、招式名或机制名。
cardMagiaMap.json	$.30423.name		name	Dead End of the Year	Dead End of the Year	保留原字面值	official-cn-exact	4	0	旧国服客户端/dump 对同一字面值有精确命中；属于正式标题、招式名或机制名。
cardMagiaMap.json	$.35048.name		name	Dynamic Cake Ceremony	欢乐蛋糕庆典	已在当前产品中文化	current-authority-curation	0	0	远端 main 的有效变更已逐项择优回收，本地当前值含中文。
cardMagiaMap.json	$.40518.name		name	Accelerator	Accelerator	保留原字面值	wiki-exact-formal	0	2	Wiki 对同一正式名称有精确记录；不把专名强行直译成普通 UI 文案。
cardMagiaMap.json	$.40528.name		name	Hornet Javelin	Hornet Javelin	保留原字面值	wiki-exact-formal	0	2	Wiki 对同一正式名称有精确记录；不把专名强行直译成普通 UI 文案。
cardMagiaMap.json	$.40538.name		name	Ouroboros	Ouroboros	保留原字面值	wiki-exact-formal	0	2	Wiki 对同一正式名称有精确记录；不把专名强行直译成普通 UI 文案。
