file	key/id	field	current	official_cn	wiki_cn	other_cn	verdict	proposed_cn	source_tier	confidence	review_status	evidence	notes
cardMagiaMap.json	10084	name	Nine Phases	Nine Phases			official-retained	Nine Phases	official-cn	exact-stable-id	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\CharaCollection_001.json/charaList/7/chara/defaultCard/cardMagia/name	official CN stable-key exact match; 16 matching object occurrence(s)
cardMagiaMap.json	10085	name	Nine Phases	Nine Phases			official-retained	Nine Phases	official-cn	exact-stable-id	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\CharaCollection_001.json/charaList/7/chara/evolutionCard1/cardMagia/name	official CN stable-key exact match; 26 matching object occurrence(s)
cardMagiaMap.json	21048	name	Magia☆Magica		Magia☆Magica		wiki-retained	Magia☆Magica	wiki	explicit-retained-form	protected-retained	D:\magia\MyProducts\magiWiki\dump_merged.xml#Template:角色数据表/doppel中文	Chinese-language Wiki/translated voice page deliberately retains the Latin phrase
cardMagiaMap.json	30244	name	angry·hungry	angry·hungry			official-retained	angry·hungry	official-cn	exact-stable-id	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\ShopTop_001.json/shopList/6/shopItemList/103/card/cardMagia/name	official CN stable-key exact match; 2 matching object occurrence(s)
cardMagiaMap.json	30423	name	Dead End of the Year	Dead End of the Year			official-retained	Dead End of the Year	official-cn	exact-stable-id	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\ShopTop_001.json/shopList/4/shopItemList/56/chara/defaultCard/cardMagia/name	official CN stable-key exact match; 1 matching object occurrence(s)
cardMagiaMap.json	35048	name	Dynamic Cake Ceremony		Dynamic Cake Ceremony		new-human-proposal	动感蛋糕典礼	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#35048 | D:\magia\MyProducts\magiWiki\dump_merged.xml#Latin-only-current-value	Wiki/translated page records the same Latin form but supplies no Chinese replacement; proposal remains lowest-tier human text
cardMagiaMap.json	40528	name	Hornet Javelin		Hornet Javelin		wiki-retained	Hornet Javelin	wiki	explicit-retained-form	protected-retained	D:\magia\MyProducts\magiWiki\dump_merged.xml#Template:角色数据表/doppel中文	Chinese-language Wiki/translated voice page deliberately retains the Latin phrase
cardMagiaMap.json	40614	name	Super Chisato Time				new-human-proposal	超级千束时间	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#40614	
cardMagiaMap.json	40615	name	Super Chisato Time				new-human-proposal	超级千束时间	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#40615	
cardMagiaMap.json	40618	name	Mission of My Heart				new-human-proposal	我心中的使命	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#40618	
cardMagiaMap.json	40624	name	Takina's Random Fire				new-human-proposal	泷奈随机射击	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#40624	
cardMagiaMap.json	40625	name	Takina's Random Fire				new-human-proposal	泷奈随机射击	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#40625	
cardMagiaMap.json	40628	name	Judgement of My Mind				new-human-proposal	心之裁决	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#40628	
cardMagiaMap.json	90020	name	Nine Phases	Nine Phases			official-equivalent-retained	Nine Phases	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=10084/10085	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90117	name	Nine Phases	Nine Phases			official-equivalent-retained	Nine Phases	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=10084/10085	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90162	name	Nine Phases	Nine Phases			official-equivalent-retained	Nine Phases	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=10084/10085	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90191	name	Nine Phases	Nine Phases			official-equivalent-retained	Nine Phases	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=10084/10085	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90256	name	Nine Phases	Nine Phases			official-equivalent-retained	Nine Phases	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=10084/10085	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90259	name	Eve Magia				new-human-proposal	夏娃Magia	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\cardMagiaMap.json#90259	
cardMagiaMap.json	90366	name	Dead End of the Year	Dead End of the Year			official-equivalent-retained	Dead End of the Year	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=30423	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90373	name	angry·hungry	angry·hungry			official-equivalent-retained	angry·hungry	official-cn-equivalent	exact-literal-variant	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2#cardMagia.id=30244	same literal Magia title as official CN canonical card; current stable ID is an enemy/variant clone
cardMagiaMap.json	90550	name	BITE! BITE! BITE! 		咬！咬！咬！		wiki-cn-replace	咬！咬！咬！	wiki	exact-stable-id	authority-ready	D:\magia\MyProducts\magiWiki\dump_merged.xml#Template:角色数据表/フェリシアちゃん	
chapterList.json	19	title	Surround Fenthope	Surround Fenthope			official-retained	Surround Fenthope	official-cn	exact-stable-id	protected-retained	D:\magia\MyProducts\MAGIA RECORD CN\Full_Raw_Dump_V2\magica\api\page\MainQuest_001.json/userChapterList/8/chapter/title	official CN stable-key exact match; 1 matching object occurrence(s)
chapterList.json	41	chapterNoForView	Pillar of Tomorrow				new-human-proposal	明日之柱	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\chapterList.json#41	
chapterList.json	41	title	Pillar of Tomorrow				new-human-proposal	明日之柱	new-human-proposal	manual-contextual	needs-human-review	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\js_v26_release_final_20260813\magica\js\libs\chapterList.json#41	
charaList.json	2105	title	scene0 ver.		scene0 ver.		wiki-retained	scene0 ver.	wiki	explicit-retained-form	protected-retained	D:\magia\MyProducts\magireco-wiki-data\data\characters.json	Chinese-language Wiki/translated voice page deliberately retains the Latin phrase
charaList.json	2301	title	scene0 ver.		scene0 ver.		wiki-retained	scene0 ver.	wiki	explicit-retained-form	protected-retained	D:\magia\MyProducts\magireco-wiki-data\data\characters.json	Chinese-language Wiki/translated voice page deliberately retains the Latin phrase
charaList.json	2402	title	scene0 ver.		scene0 ver.		wiki-retained	scene0 ver.	wiki	explicit-retained-form	protected-retained	D:\magia\MyProducts\magireco-wiki-data\data\characters.json	Chinese-language Wiki/translated voice page deliberately retains the Latin phrase
