path	candidate_rows	class	decision	reason
css/test/EffectTest.css	5	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
js/_common/baseConfig.js	1	technical-non-display	不新增文件	RequireJS 模块路径，不是界面文案
js/libs/iscroll5.js	1	technical-non-display	不新增文件	滚动库内联 CSS，不是界面文案
js/memoria/MemoriaComposeResult.js	3	technical-non-display	不新增文件	仅追加到页面不存在的 #debugWrap 的调试数值标签
js/test/RaidAnimationTest.js	2	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
js/test/SelectStoryTest.js	7	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
js/top/Maintenance.js	1	technical-non-display	不新增文件	HTML 不换行空格实体，不是词语
resource/image_web/debug/selectedBranch.json	1	technical-non-display	不新增文件	调试分支标识，不是玩家文案
template/test/ArenaStub.html	44	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/BackdoorEpLv.html	6	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/BackdoorQuestList.html	7	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/DoubleUnitTest.html	5	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/NativeSandBox.html	5	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/RealGachaAnimation.html	1	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/RealGachaTop.html	1	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/SoundTest.html	6	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/StyleTemplate.html	70	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/TapEffectTest.html	2	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
template/test/TipsTest.html	3	test-or-developer-only	不新增文件	测试/开发页面，不进入玩家产品
