file	key	field	baseline	pass8	current	official_name	official_family_ids	authority_locator	source_record_sha256	official_family_typed_signatures_json	name_match	existing_ledger_overlap	original_pass9_residual	pass14_residual	accepted_as_new_layer	runtime_byte_change	reason
cardMagiaMap.json	90001	name	终结一击	Tiro·Finale（最终射击）	Tiro·Finale（最终射击）	Tiro·Finale（最终射击）	20054,20055,200555	authority.json/cardMagiaMap.json/{20054,20055,200555}/name	257fcab623847abd12e4e6c797e98653f85d2dab3fc80d57962f202b41dfa982	"{""20054"":{""directions"":[""DOWN""],""numeric_roman"":[""Ⅵ"",""1"",""1""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""SELF"",""SELF""],""turns"":[""1"",""1""]},""20055"":{""directions"":[""DOWN""],""numeric_roman"":[""Ⅷ"",""1"",""3"",""1""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""ENEMY_ALL"",""SELF""],""turns"":[""1"",""3"",""1""]},""200555"":{""directions"":[""DOWN""],""numeric_roman"":[""Ⅷ"",""1"",""3"",""1""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""ENEMY_ALL"",""SELF""],""turns"":[""1"",""3"",""1""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90034	name	无限海神	无尽的波塞冬	无尽的波塞冬	无尽的波塞冬	10094,10095,100955	authority.json/cardMagiaMap.json/{10094,10095,100955}/name	043662931e3536028a805c79092161eba8c13e00624ec1c5dc88ecb87c324601	"{""10094"":{""directions"":[],""numeric_roman"":[""Ⅴ""],""targets"":[""ENEMY_SINGLE"",""SELF""],""turns"":[]},""10095"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_SINGLE"",""SELF"",""SELF""],""turns"":[""3""]},""100955"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_SINGLE"",""SELF"",""SELF""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90073	name	慈雨☆魔法	魔法☆之雨	魔法☆之雨	魔法☆之雨	20014,20015,200155	authority.json/cardMagiaMap.json/{20014,20015,200155}/name	b92b5ad7f89a2c8bfd57bd721cbbbcad4f5346381c5f9bd1b820cdcd9c879a57	"{""20014"":{""directions"":[],""numeric_roman"":[""Ⅳ""],""targets"":[""ENEMY_ALL"",""ALLY_ALL""],""turns"":[]},""20015"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ALLY_ALL"",""ALLY_ALL""],""turns"":[""3""]},""200155"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ALLY_ALL"",""ALLY_ALL""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90077	name	终结一击·圣夜	Tiro·Finale（最终射击） 圣夜	Tiro·Finale（最终射击） 圣夜	Tiro·Finale（最终射击） 圣夜	25004,25005	authority.json/cardMagiaMap.json/{25004,25005}/name	32eae64842ec9769382eebed556bdbc5c0b520e474277fe85f7ad28e8932324f	"{""25004"":{""directions"":[""UP""],""numeric_roman"":[""Ⅴ""],""targets"":[""ENEMY_ALL""],""turns"":[]},""25005"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ""],""targets"":[""ENEMY_ALL""],""turns"":[]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90088	name	慈雨☆魔法	魔法☆之雨	魔法☆之雨	魔法☆之雨	20014,20015,200155	authority.json/cardMagiaMap.json/{20014,20015,200155}/name	b92b5ad7f89a2c8bfd57bd721cbbbcad4f5346381c5f9bd1b820cdcd9c879a57	"{""20014"":{""directions"":[],""numeric_roman"":[""Ⅳ""],""targets"":[""ENEMY_ALL"",""ALLY_ALL""],""turns"":[]},""20015"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ALLY_ALL"",""ALLY_ALL""],""turns"":[""3""]},""200155"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ALLY_ALL"",""ALLY_ALL""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90098	name	无限海神	无尽的波塞冬	无尽的波塞冬	无尽的波塞冬	10094,10095,100955	authority.json/cardMagiaMap.json/{10094,10095,100955}/name	043662931e3536028a805c79092161eba8c13e00624ec1c5dc88ecb87c324601	"{""10094"":{""directions"":[],""numeric_roman"":[""Ⅴ""],""targets"":[""ENEMY_SINGLE"",""SELF""],""turns"":[]},""10095"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_SINGLE"",""SELF"",""SELF""],""turns"":[""3""]},""100955"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_SINGLE"",""SELF"",""SELF""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90099	name	审判之地	审判大地	审判大地	审判大地	10113,10114,10115,101155	authority.json/cardMagiaMap.json/{10113,10114,10115,101155}/name	f29aab4dac4d61977c9fcb5d6de9b1391e82cef06ee89dbae3e2f0c30a792f69	"{""10113"":{""directions"":[],""numeric_roman"":[""Ⅳ""],""targets"":[""ENEMY_ALL""],""turns"":[]},""10114"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL""],""turns"":[""3""]},""10115"":{""directions"":[""UP"",""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""ALLY_ALL""],""turns"":[""3""]},""101155"":{""directions"":[""UP"",""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""ALLY_ALL""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90100	name	慈雨☆魔法	魔法☆之雨	魔法☆之雨	魔法☆之雨	20014,20015,200155	authority.json/cardMagiaMap.json/{20014,20015,200155}/name	b92b5ad7f89a2c8bfd57bd721cbbbcad4f5346381c5f9bd1b820cdcd9c879a57	"{""20014"":{""directions"":[],""numeric_roman"":[""Ⅳ""],""targets"":[""ENEMY_ALL"",""ALLY_ALL""],""turns"":[]},""20015"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ALLY_ALL"",""ALLY_ALL""],""turns"":[""3""]},""200155"":{""directions"":[],""numeric_roman"":[""Ⅵ"",""3""],""targets"":[""ENEMY_ALL"",""ALLY_ALL"",""ALLY_ALL""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90102	name	终结一击	Tiro·Finale（最终射击）	Tiro·Finale（最终射击）	Tiro·Finale（最终射击）	20054,20055,200555	authority.json/cardMagiaMap.json/{20054,20055,200555}/name	257fcab623847abd12e4e6c797e98653f85d2dab3fc80d57962f202b41dfa982	"{""20054"":{""directions"":[""DOWN""],""numeric_roman"":[""Ⅵ"",""1"",""1""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""SELF"",""SELF""],""turns"":[""1"",""1""]},""20055"":{""directions"":[""DOWN""],""numeric_roman"":[""Ⅷ"",""1"",""3"",""1""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""ENEMY_ALL"",""SELF""],""turns"":[""1"",""3"",""1""]},""200555"":{""directions"":[""DOWN""],""numeric_roman"":[""Ⅷ"",""1"",""3"",""1""],""targets"":[""ENEMY_ALL"",""ENEMY_ALL"",""ENEMY_ALL"",""SELF""],""turns"":[""1"",""3"",""1""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
cardMagiaMap.json	90105	name	无限海神	无尽的波塞冬	无尽的波塞冬	无尽的波塞冬	10094,10095,100955	authority.json/cardMagiaMap.json/{10094,10095,100955}/name	043662931e3536028a805c79092161eba8c13e00624ec1c5dc88ecb87c324601	"{""10094"":{""directions"":[],""numeric_roman"":[""Ⅴ""],""targets"":[""ENEMY_SINGLE"",""SELF""],""turns"":[]},""10095"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_SINGLE"",""SELF"",""SELF""],""turns"":[""3""]},""100955"":{""directions"":[""UP""],""numeric_roman"":[""Ⅶ"",""3""],""targets"":[""ENEMY_SINGLE"",""SELF"",""SELF""],""turns"":[""3""]}}"	exact	false	true	true	true	false	current name is a byte-exact official CN cardMagiaMap family name; official family descriptions are retained as typed numeric/Roman/target/turn/direction evidence
