file	stable_key	field	baseline_value	current_value	value_type	coverage_status	explicit_source_covered	whole_file_copy_uncovered_regression	transition_count	layer_chain	recipe_rows	authority_types	source_locators	chain_exact	simulated_final_matches_product	known_pass11_90360
cardList.json	11214	cardName	結菜・樹里	结菜·树里	str	EXACT_CHAIN_COVERED	True	False	2	pass28 -> pass30	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=227 | C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=448	closed_simplified_chinese_orthography_non_official_lock | typed Wiki character record	reviewed bridge + OpenCC t2s; exact non-Han skeleton preserved | characters.json/结菜_树里_吸血鬼ver@42641f87818b37262032fd4dc5d5c756a48fed7a	True	True	False
cardList.json	11215	cardName	結菜・樹里	结菜·树里	str	EXACT_CHAIN_COVERED	True	False	2	pass28 -> pass30	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=228 | C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=449	closed_simplified_chinese_orthography_non_official_lock | typed Wiki character record	reviewed bridge + OpenCC t2s; exact non-Han skeleton preserved | characters.json/结菜_树里_吸血鬼ver@42641f87818b37262032fd4dc5d5c756a48fed7a	True	True	False
cardList.json	30413	cardName	………	柚希步鸟	str	EXACT_CHAIN_COVERED	True	False	1	pass13_card_identity	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass13_card_identity\card_identity_corrections.json#index=1;cardId=30413	wiki_typed_character_id+baseline_pre_llm	wiki typed characterId=3041	True	True	False
cardList.json	30414	cardName	………	柚希步鸟	str	EXACT_CHAIN_COVERED	True	False	1	pass13_card_identity	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass13_card_identity\card_identity_corrections.json#index=2;cardId=30414	wiki_typed_character_id+baseline_pre_llm	wiki typed characterId=3041	True	True	False
cardList.json	30453	cardName	………	柚希理音	str	EXACT_CHAIN_COVERED	True	False	1	pass13_card_identity	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass13_card_identity\card_identity_corrections.json#index=3;cardId=30453	wiki_typed_character_id+baseline_pre_llm	wiki typed characterId=3045	True	True	False
cardList.json	30454	cardName	………	柚希理音	str	EXACT_CHAIN_COVERED	True	False	1	pass13_card_identity	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass13_card_identity\card_identity_corrections.json#index=4;cardId=30454	wiki_typed_character_id+baseline_pre_llm	wiki typed characterId=3045	True	True	False
cardList.json	30504	cardName	………	香春优奈	str	EXACT_CHAIN_COVERED	True	False	1	pass13_card_identity	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass13_card_identity\card_identity_corrections.json#index=5;cardId=30504	wiki_typed_character_id+baseline_pre_llm	wiki typed characterId=3050	True	True	False
cardList.json	30505	cardName	………	香春优奈	str	EXACT_CHAIN_COVERED	True	False	1	pass13_card_identity	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass13_card_identity\card_identity_corrections.json#index=6;cardId=30505	wiki_typed_character_id+baseline_pre_llm	wiki typed characterId=3050	True	True	False
cardMagiaMap.json	11078	name	奔向创造与破坏的圣夜	向创造与毁灭的圣夜	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=1;charaId=1107;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=灯花·音梦（圣夜ver.）	True	True	False
cardMagiaMap.json	11208	name	妖怪阿酱们夜行	妖怪阿鲁酱夜行	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=2;charaId=1120;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=佐鸟笼目（百鬼夜行ver.）	True	True	False
cardMagiaMap.json	12038	name	烈火魔女化身·爆走炎舞	强火魔女化身疾驰焰舞	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=3;charaId=1203;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=鹤乃·菲莉希亚（快递ver.）	True	True	False
cardMagiaMap.json	12098	name	秋野枫的「水散爆裂击球」	秋野枫的“水散爆裂击球”	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=4;charaId=1209;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=玲奈·枫（泳装ver.）	True	True	False
cardMagiaMap.json	12108	name	绝对魅惑·人鱼激流	绝对魅惑人鱼水流	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=5;charaId=1210;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=桃子·御魂（人鱼ver.）	True	True	False
cardMagiaMap.json	13038	name	传闻的回转雷兽休止炮	谣回转雷兽休止炮	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=6;charaId=1303;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=谣鹤乃（动画ver.）	True	True	False
cardMagiaMap.json	14018	name	欢欣之雪	快乐之雪	str	EXACT_CHAIN_COVERED	True	False	1	pass14_special_doppel	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass15_authority\magica\i18n_audit\wiki_authority_pass14_special_doppel\special_doppel_authority.json#index=7;charaId=1401;target=cardMagiaMap.json	frozen_wiki_typed_special_doppel	wiki character=伊吕波·忧（巫女ver.）	True	True	False
cardMagiaMap.json	90001	shortDescription	对敌方全体造成伤害[Ⅵ] & 束缚(我方全体/1T) & 自身防御下降(自身/1T)	对全体敌人造成伤害[Ⅵ] & 束缚（全体敌人/1T） & 自身防御下降（自己/1T）	str	EXACT_CHAIN_COVERED	True	False	1	pass17_first_authority	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=476	official_cn_same_skill_exact_name_level_and_mechanics	cardMagiaMap.json/20054/shortDescription | templates.jsonl.gz::Template:角色数据表/巴 マミ#magia效果4	True	True	False
cardMagiaMap.json	90002	shortDescription	对敌方单体造成伤害[Ⅵ] & HP越低威力越大 & 回避(自身/1T)	对单个敌人造成伤害[Ⅵ]&HP越低威力越大&回避（自己/1T）	str	EXACT_CHAIN_COVERED	True	False	1	pass15	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=2	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30254	True	True	False
cardMagiaMap.json	90004	shortDescription	对敌方全体造成伤害[Ⅰ] & 伤害下降(敌方全体/3T)	对全体敌人造成伤害[Ⅰ] & 伤害下降（全体敌人/3T）	str	EXACT_CHAIN_COVERED	True	False	1	pass15	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=4	official_cn_dump_linked_same_skill	authority.json/cardMagiaMap.json/30062	True	True	False
cardMagiaMap.json	90005	shortDescription	横向伤害[Ⅰ] & HP回复(我方全体)	横向伤害[Ⅰ] & HP回复（全体）	str	EXACT_CHAIN_COVERED	True	False	1	pass16	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\pass17_max_integrated\release\authority_layer_ledger_571.tsv#sequence=150	official_cn_dump_exact_name_full_signature_closed_lexical_equivalence	authority.json/cardMagiaMap.json/30302/shortDescription	True	True	False
