path,extension,old_size,totentanz_exists,totentanz_size,old_sha256,totentanz_sha256,same_bytes,old_width,old_height,totentanz_width,totentanz_height,same_geometry,visual_language_class,visible_text,copy_guidance,old_text_reference_count,totentanz_comparable_text_reference_count,reference_caveat
resource/image_web/common/global/global_accomplish.png,.png,37170,True,50988,29aeaaf2703b0ddf5442a74f1476a65f0cbd0a87c40075864c69466a6ed44ce3,8cfbbfc80959f4811beda90f5a272d9878b4b38af6b66f8acae888bf60823194,False,352,382,352,382,True,japanese_residue,バトルミュージアム,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_battle.png,.png,41979,True,34119,5372ce1bb8fb27b316af3dd3f826779d0764d15f0b48930a048b98947e96ac3d,f8cef8255a605db202472d0fd87918a37b4673ad8b0f70c6da25fb7113a39f40,False,352,382,352,382,True,true_simplified_cn,镜界,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_extermination.png,.png,37299,True,49178,80db4d0201b20d2fdbbdb5233d00afd902431062cdf2b92a6720f2e514e56033,4b8e07ddd504cd948cc56de12bedd803b2ef45aff4995407b510bccb805cebb5,False,352,382,352,382,True,japanese_residue,殲滅戦,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_gacha.png,.png,19766,True,19750,51c2fb4b86311fcc8563db8c892cb9247f5c2ef1283ab842c34f1200825566df,72c653e05542d2b02490e4d538ef369158262d9990d46b268a9ca55bbceaac4a,False,208,246,208,246,True,true_simplified_cn,扭蛋,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_home.png,.png,15308,True,14649,045ee68912cc658fd42cf3ee80fc45fba6ad160ac8028ba1f60da04879bce35d,ea681437fce09a46daf7a4bd22ff94fdd410fdbb518024281583bd3b620cb77f,False,204,223,204,223,True,neutral_latin,HOME,Not an authoritative Chinese asset; do not copy as localization.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_kimochi.png,.png,38595,True,53147,40470fd83c0b22a1112e10e90d65b52543c9424ed32e7bce4b052928c39ccf94,ac64a3050359034c020149798a855030b17aad4014fb6ad799490b8435ec6f55,False,339,366,339,366,True,japanese_residue,キモチ戦,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_kimochi_a.png,.png,37592,True,52665,d28266b47c4c1d171f7fa38ae82cba5fdcb2dd508e132d0115ee39d2c79659af,ae6eec2e52ffe9b1559bff888d8d74229baf84b2c736f6d4c89afac9cd510482,False,352,382,352,382,True,japanese_residue,キモチ戦,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_memoria.png,.png,20574,True,20749,398f6b8fd235e95082cdbcdc2e27c80b00fe8f3b45ca6d66eaf4755b1d6c9cf8,d7c21c57c77d150e05db79d9efc430d03a98f9a1cccea6855b8845161dfeb6f8,False,208,246,208,246,True,true_simplified_cn,记忆结晶,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_mission.png,.png,18895,True,18983,71e8d17dd464784670261c0acd55dd226d80b82a5c3606331b4b11075c51b90b,cbfd419c99327e29e251d11ace9dadcea25db87c92c0bb3392be8c83b2134d14,False,208,246,208,246,True,true_simplified_cn,任务,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_patrol_a.png,.png,39319,True,53216,ae9776cbacdc8f91fb8c2120f33905d412ae7fe09928d7db3cc04e3c5caef7df,104a9b4d8f8115b97029ade6a72238aef5a1f70fa678b2a1f4ef15bb2b3d8644,False,352,382,352,382,True,japanese_residue,パトロール,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_quest.png,.png,39385,True,30165,43761b1e72b08c949c1dc221c31dd33fecba5ebc6158a963f274ef65b390a648,d339838256bb97be4a124d30709b4e56c2d1aa74752436388ce0612b79d98800,False,352,382,352,382,True,true_simplified_cn,剧情,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_scene0.png,.png,29900,True,28236,07f3f3fd04814147f83d941620cf7ecf125b49f249eac15ac3cf5923d2317011,f29060114f00d0ebfc00d57914a3df965a21c76fdc37ee90580baad3459808d8,False,352,382,352,382,True,neutral_latin,Scene0,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_shop.png,.png,20041,True,20163,3620541a5f5e41951ae2bda6d6c0d033702197486acad65741479ab3dabdbcd4,2a6f1ed566046df1562f100e0cc9d4caf80f550364f86f4bd42589c6b7fc792e,False,208,220,208,220,True,true_cn,商店,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_team.png,.png,41686,True,39909,bf1f2e31c5dc5732b4f472cfb037a1955f2c605c440b186eb977c912faef649a,49a049c10e85b3fe6034b3403b1a210e0d93a553d588bd320d27b58a22e53e3a,False,352,382,352,382,True,true_simplified_cn,队伍,High-confidence path-and-geometry-compatible Chinese asset; copy only after confirming current CSS uses this exact path and box.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/global_unit.png,.png,19090,True,19284,329ae3c32533de05cbbb016052f8bfe44585c7b274ac14fc28adb19f5f2abd9a,93f7d7f119b6f89dd87395d2273f09919332ee51b95c82d1e4de2d9306401afe,False,208,246,208,246,True,shared_han_ambiguous,魔法少女,Not an authoritative Chinese asset; do not copy as localization.,1,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/update2/global_gacha.png,.png,15838,True,43580,f6a1daad7442613c464491f34fd23dee8b00c93cf512a8dae43e1e2cbe4bcfab,94d1612cf3fca5651fd9f6cfe5c63e2a05b33d8bb3d9c99edfc8114c54e7b7bd,False,184,196,208,246,False,japanese_residue,ガチャ,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/update2/global_memoria.png,.png,16163,True,16617,a78351703b365346109c7e657f664440c155edfbe4cf989b96cebe39eb98d480,dc7bbffc2e3b6186940381ad6e624673a75081e95dc059ef0d85ca58cb00ed30,False,184,196,208,246,False,japanese_residue,メモリア,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/update2/global_mission.png,.png,15203,True,16828,2e75cc63d095eccfdb85512121f6d6a23bb04b18b695d0a13e3344615677bde1,7d10845a63f9fca5efaa4d0ce0558f0308c88f855662290fe6a213f49cbf606c,False,184,196,208,246,False,japanese_residue,ミッション,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/update2/global_shop.png,.png,16100,True,20430,f1fe808e44be022c4ec580780eb8cb09bc9b785fac47c4ef07b13018e9414cb5,967feb7312913182cfd8b89f73b30071aac6ac7dfbf90b7e2cf7cc5a7c97a514,False,184,196,184,196,True,japanese_residue,ショップ,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/update2/global_team.png,.png,16056,True,20565,644f0131ed0e626c2438189f496987636979b9099edfc1332ca30ab515604fb7,5088ada281e54be4cbe1e38d50248080f93063e1a3a3069a7f070eafe2638c5a,False,184,196,184,196,True,japanese_residue,チーム,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
resource/image_web/common/global/update2/global_unit.png,.png,15415,True,17477,f6d30c322a329e22d32f5c685f18f06cd3d26c083729e6aa20f6b6fd16a2e659,15e06eb37080122e286964df5b5991718c2024b1f52985e158156f032f614b9e,False,184,196,208,246,False,shared_han_ambiguous,魔法少女,Not an authoritative Chinese asset; do not copy as localization.,0,0,"Totentanz css/_common is absent from the tar, so current runtime selection cannot be proven from this tar alone."
