chara_id	official_name	official_kana	kana_equals_name	source_path
1001	环彩羽	环彩羽	true	userCharaList[chara.id=1001].chara
1002	七海八千代	七海八千代	true	userCharaList[chara.id=1002].chara
1003	由比鹤乃	由比鹤乃	true	userCharaList[chara.id=1003].chara
1004	二叶莎奈	二叶莎奈	true	userCharaList[chara.id=1004].chara
1005	深月菲莉希亚	深月菲莉希亚	true	userCharaList[chara.id=1005].chara
1006	梓美冬	梓美冬	true	userCharaList[chara.id=1006].chara
1009	水波玲奈	水波玲奈	true	userCharaList[chara.id=1009].chara
1010	十咎桃子	十咎桃子	true	userCharaList[chara.id=1010].chara
1011	秋野枫	秋野枫	true	userCharaList[chara.id=1011].chara
1013	龙城明日香	龙城明日香	true	userCharaList[chara.id=1013].chara
1014	柊音梦	柊音梦	true	userCharaList[chara.id=1014].chara
1016	和泉十七夜	和泉十七夜	true	userCharaList[chara.id=1016].chara
1017	八云御魂	八云御魂	true	userCharaList[chara.id=1017].chara
1019	天音月咲	天音月咲	true	userCharaList[chara.id=1019].chara
1026	广江千春	广江千春	true	userCharaList[chara.id=1026].chara
1103	传闻鹤乃	传闻鹤乃	true	userCharaList[chara.id=1103].chara
1105	小菲莉希亚	小菲莉希亚	true	userCharaList[chara.id=1105].chara
1201	小彩羽	小彩羽	true	userCharaList[chara.id=1201].chara
1301	彩羽·八千代	彩羽·八千代	true	userCharaList[chara.id=1301].chara
2001	鹿目圆	鹿目圆	true	userCharaList[chara.id=2001].chara
2003	晓美焰	晓美焰	true	userCharaList[chara.id=2003].chara
2005	巴麻美	巴麻美	true	userCharaList[chara.id=2005].chara
2006	佐仓杏子	佐仓杏子	true	userCharaList[chara.id=2006].chara
2007	百江渚	百江渚	true	userCharaList[chara.id=2007].chara
2101	圆神	圆神	true	userCharaList[chara.id=2101].chara
2102	小圆前辈	小圆前辈	true	userCharaList[chara.id=2102].chara
3001	矢宵鹿乃子	矢宵鹿乃子	true	userCharaList[chara.id=3001].chara
3002	空穗夏希	空穗夏希	true	userCharaList[chara.id=3002].chara
3003	都雏乃	都雏乃	true	userCharaList[chara.id=3003].chara
3004	美凪纱纱罗	美凪纱纱罗	true	userCharaList[chara.id=3004].chara
3005	常盘七香	常盘七香	true	userCharaList[chara.id=3005].chara
3006	木崎衣美里	木崎衣美里	true	userCharaList[chara.id=3006].chara
3007	保澄雫	保澄雫	true	userCharaList[chara.id=3007].chara
3008	志伸晶	志伸晶	true	userCharaList[chara.id=3008].chara
3009	胡桃爱香	胡桃爱香	true	userCharaList[chara.id=3009].chara
3010	阿见莉爱	阿见莉爱	true	userCharaList[chara.id=3010].chara
3011	夏目佳子	夏目佳子	true	userCharaList[chara.id=3011].chara
3012	纯美雨	纯美雨	true	userCharaList[chara.id=3012].chara
3013	伊吹丽良	伊吹丽良	true	userCharaList[chara.id=3013].chara
3014	桑水清佳	桑水清佳	true	userCharaList[chara.id=3014].chara
3015	相野未都	相野未都	true	userCharaList[chara.id=3015].chara
3016	粟根心	粟根心	true	userCharaList[chara.id=3016].chara
3019	毬子亚弥华	毬子亚弥华	true	userCharaList[chara.id=3019].chara
3020	真尾日美香	真尾日美香	true	userCharaList[chara.id=3020].chara
3023	江利爱实	江利爱实	true	userCharaList[chara.id=3023].chara
3025	五十铃怜	五十铃怜	true	userCharaList[chara.id=3025].chara
3027	游佐叶月	游佐叶月	true	userCharaList[chara.id=3027].chara
3028	三栗菖蒲	三栗菖蒲	true	userCharaList[chara.id=3028].chara
3029	加贺见真良	加贺见真良	true	userCharaList[chara.id=3029].chara
3030	春名木乃美	春名木乃美	true	userCharaList[chara.id=3030].chara
3031	绫野梨花	绫野梨花	true	userCharaList[chara.id=3031].chara
3037	安名梅露	安名梅露	true	userCharaList[chara.id=3037].chara
3046	观鸟令	观鸟令	true	userCharaList[chara.id=3046].chara
3049	雪野加奈惠	雪野加奈惠	true	userCharaList[chara.id=3049].chara
3053	牧野郁美	牧野郁美	true	userCharaList[chara.id=3053].chara
3900	黑	黑	true	userCharaList[chara.id=3900].chara
4001	美国织莉子	美国织莉子	true	userCharaList[chara.id=4001].chara
4002	吴纪里香	吴纪里香	true	userCharaList[chara.id=4002].chara
4003	千岁由麻	千岁由麻	true	userCharaList[chara.id=4003].chara
4012	御崎海香	御崎海香	true	userCharaList[chara.id=4012].chara
4013	牧薰	牧薰	true	userCharaList[chara.id=4013].chara
4023	梅丽莎	梅丽莎	true	userCharaList[chara.id=4023].chara
4031	天乃铃音	天乃铃音	true	userCharaList[chara.id=4031].chara
4033	成见亚里纱	成见亚里纱	true	userCharaList[chara.id=4033].chara
4034	诗音千里	诗音千里	true	userCharaList[chara.id=4034].chara
