file	line	exact_text	usage/context	player_visible	confidence	exclusion_reason
magica/js/test/Backdoor.js	581	受取完了	PopupClass.title：领取测试完成弹窗标题	true	high	""
magica/js/test/Backdoor.js	656	受取完了	PopupClass.title：领取测试完成弹窗标题	true	high	""
magica/js/test/Backdoor.js	716	受取完了	PopupClass.title：领取测试完成弹窗标题	true	high	""
magica/js/test/BackdoorList.js	98	完了	PopupClass.title：搜索服务器注册完成弹窗标题	true	high	""
magica/js/test/BackdoorQuestList.js	65	現代神浜編	任务按钮标题：Puella Historia 103401 分支名称	true	high	""
magica/js/test/BackdoorQuestList.js	95	話 Battle	任务按钮标题拼接片段：章/话/战斗编号	true	high	""
magica/js/test/SoundTest.js	9	自己紹介演出用①	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	10	自己紹介演出用②	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	11	自己紹介演出用③	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	12	自己紹介演出用④	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	13	自己紹介演出用⑤	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	14	自己紹介演出用⑥	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	15	自己紹介演出用⑦	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	17	強化MAX	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	19	魔力解放１回目	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	20	魔力解放２回目	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	21	魔力解放３回目	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	28	時間変化①6-9時	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	29	時間変化②11-13時	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	30	時間変化③17-19時	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	31	時間変化④22-24時	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	32	時間変化⑤上記以外	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	46	勝利①（★１、２、３）	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	47	勝利②（★４）	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	48	勝利③（★５）	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	49	勝利④（★６）	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	59	2,3回目攻撃時①	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	60	2,3回目攻撃時②	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	61	2,3回目攻撃時③	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/test/SoundTest.js	78	戦闘不能	语音测试标签数组 n；createBtn 将该值作为 model.title 渲染到 #voBtnWrap	true	high	""
magica/js/view/memoria/PieceArchiveView.js	23	所持枠	moveToBtn 的 this.name 回退值；经 escapehtml 后插入移动确认弹窗正文	true	high	""
magica/js/view/memoria/PieceArchiveView.js	34	保管庫	记忆保管库默认名称；写入 #commentInput，并用于 #textCount	true	high	""
magica/js/view/memoria/PieceArchiveView.js	35	保管庫	记忆保管库默认名称；写入 #commentInput，并用于 #textCount	true	high	""
magica/js/event/EventArenaRankMatch/Utility.js	5	・	特殊规则属性缩写之间的可见分隔符	true	high	仅为国服可保留的间隔号，不含待翻译词汇
magica/js/test/BackdoorList.js	560	・	购买状态 product_id 列表的可见项目分隔符	true	high	仅为列表间隔号，不含待翻译词汇
magica/js/view/memoria/PieceArchiveView.js	31	保管庫移動可能:	console.log 调试计数标签	false	high	仅写入开发者日志，不进入玩家界面
magica/js/view/memoria/PieceArchiveView.js	31	所持枠移動可能:	console.log 调试计数标签	false	high	仅写入开发者日志，不进入玩家界面
